DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH
0.00,0.00,0.00,0.00,0.00,DL,Delta Air Lines Inc.,YUL,HPN,6,622,2024,1
0.00,0.00,0.00,0.00,0.00,UA,United Air Lines Inc.,IAH,YYC,6,839,2024,1
0.00,0.00,0.00,0.00,0.00,UA,United Air Lines Inc.,MBJ,DEN,6,839,2024,1
0.00,0.00,0.00,0.00,0.00,UA,United Air Lines Inc.,MBJ,EWR,6,839,2024,1
0.00,0.00,0.00,0.00,0.00,UA,United Air Lines Inc.,YYC,IAH,6,839,2024,1
0.00,0.00,0.00,0.00,0.00,YX,Republic Airline,ROC,YYZ,6,673,2024,1
1.00,0.00,0.00,0.00,0.00,36Q,Air Hamburg Luftverkehrsgesellschaft mbH,SCF,NAS,7,775,2024,1
1.00,0.00,0.00,0.00,0.00,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,LRD,TRC,6,655,2024,1
1.00,0.00,0.00,0.00,0.00,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,QRO,LRD,6,655,2024,1
1.00,0.00,0.00,0.00,0.00,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,SLW,LRD,6,655,2024,1
1.00,0.00,0.00,0.00,0.00,5Y,Atlas Air Inc.,ANC,TPE,8,819,2024,1
1.00,0.00,0.00,0.00,0.00,5Y,Atlas Air Inc.,CVG,ICN,8,819,2024,1
1.00,0.00,0.00,0.00,0.00,5Y,Atlas Air Inc.,JFK,AMS,8,819,2024,1
1.00,0.00,0.00,0.00,0.00,5Y,Atlas Air Inc.,MEX,IAH,6,625,2024,1
1.00,0.00,0.00,0.00,0.00,5Y,Atlas Air Inc.,MIA,SCL,6,625,2024,1
1.00,0.00,0.00,0.00,0.00,5Y,Atlas Air Inc.,NLU,MIA,8,821,2024,1
