DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH,SEATS_PER_FLIGHT,AV_PASSENGERS_PER_FLIGHT
1.0,143.0,49.0,0.0,0.0,WN,Southwest Airlines Co.,MSY,CUN,6,612,2024,1,299.0,49.0
1.0,143.0,49.0,0.0,0.0,WN,Southwest Airlines Co.,SAT,CUN,6,612,2024,1,299.0,49.0
1.0,143.0,111.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,MSY,6,612,2024,1,143.0,111.0
1.0,143.0,116.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,TPA,6,612,2024,1,143.0,116.0
1.0,143.0,129.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,SAT,6,612,2024,1,143.0,129.0
1.0,143.0,129.0,245.0,0.0,WN,Southwest Airlines Co.,SJO,BWI,6,612,2024,1,143.0,129.0
1.0,143.0,131.0,0.0,0.0,WN,Southwest Airlines Co.,BWI,SJO,6,612,2024,1,143.0,131.0
1.0,143.0,133.0,0.0,0.0,WN,Southwest Airlines Co.,DEN,SJO,6,612,2024,1,143.0,133.0
1.0,143.0,139.0,0.0,0.0,WN,Southwest Airlines Co.,CZM,AUS,6,612,2024,1,143.0,139.0
1.0,143.0,139.0,0.0,0.0,WN,Southwest Airlines Co.,MDW,PUJ,6,612,2024,1,143.0,139.0
1.0,143.0,139.0,0.0,0.0,WN,Southwest Airlines Co.,SMF,SJD,6,612,2024,1,143.0,139.0
1.0,143.0,140.0,0.0,0.0,WN,Southwest Airlines Co.,AUA,BWI,6,612,2024,1,143.0,140.0
1.0,143.0,141.0,0.0,0.0,WN,Southwest Airlines Co.,BWI,AUA,6,612,2024,1,143.0,141.0
1.0,143.0,141.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,IND,6,612,2024,1,143.0,141.0
1.0,143.0,142.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,BNA,6,612,2024,1,143.0,142.0
1.0,143.0,142.0,0.0,0.0,WN,Southwest Airlines Co.,PUJ,MDW,6,612,2024,1,143.0,142.0
1.0,143.0,142.0,0.0,0.0,WN,Southwest Airlines Co.,SJO,DEN,6,612,2024,1,143.0,142.0
1.0,143.0,143.0,0.0,0.0,WN,Southwest Airlines Co.,MCO,CUN,6,612,2024,1,143.0,143.0
1.0,143.0,143.0,0.0,0.0,WN,Southwest Airlines Co.,PVR,AUS,6,612,2024,1,143.0,143.0
1.0,175.0,55.0,0.0,0.0,WN,Southwest Airlines Co.,SJD,HOU,6,614,2024,1,175.0,55.0
1.0,175.0,75.0,0.0,0.0,WN,Southwest Airlines Co.,FLL,GCM,6,614,2024,1,175.0,75.0
1.0,175.0,100.0,0.0,0.0,WN,Southwest Airlines Co.,HOU,MBJ,6,614,2024,1,175.0,100.0
1.0,175.0,101.0,0.0,0.0,WN,Southwest Airlines Co.,PHX,PVR,6,838,2024,1,175.0,101.0
1.0,175.0,103.0,0.0,0.0,WN,Southwest Airlines Co.,GCM,FLL,6,614,2024,1,175.0,103.0
1.0,175.0,109.0,0.0,0.0,WN,Southwest Airlines Co.,HOU,SJD,6,838,2024,1,175.0,109.0
1.0,175.0,110.0,0.0,0.0,WN,Southwest Airlines Co.,BWI,NAS,6,614,2024,1,175.0,110.0
1.0,175.0,119.0,0.0,0.0,WN,Southwest Airlines Co.,NAS,BWI,6,614,2024,1,175.0,119.0
1.0,175.0,125.0,0.0,0.0,WN,Southwest Airlines Co.,FLL,NAS,6,838,2024,1,175.0,125.0
1.0,175.0,126.0,0.0,0.0,WN,Southwest Airlines Co.,BWI,CUN,6,614,2024,1,175.0,126.0
1.0,175.0,128.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,ORD,6,838,2024,1,175.0,128.0
1.0,175.0,129.0,0.0,0.0,WN,Southwest Airlines Co.,BNA,CUN,6,614,2024,1,175.0,129.0
1.0,175.0,131.0,0.0,0.0,WN,Southwest Airlines Co.,PHX,SJD,6,838,2024,1,175.0,131.0
1.0,175.0,134.0,0.0,0.0,WN,Southwest Airlines Co.,DEN,SJD,6,838,2024,1,175.0,134.0
1.0,175.0,135.0,0.0,0.0,WN,Southwest Airlines Co.,NAS,FLL,6,838,2024,1,175.0,135.0
1.0,175.0,140.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,PIT,6,614,2024,1,175.0,140.0
1.0,175.0,142.0,0.0,0.0,WN,Southwest Airlines Co.,MBJ,HOU,6,614,2024,1,175.0,142.0
1.0,175.0,149.0,0.0,0.0,WN,Southwest Airlines Co.,AUS,CUN,6,838,2024,1,175.0,149.0
1.0,175.0,161.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,BNA,6,614,2024,1,175.0,161.0
